#,Name,Team,W,L,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO
131,Cade Cavalli,WSN,2,2,4.3,21,12,0,0,,79,341,75,41,38,10,32,,4,74
132,Jack Leiter,TEX,2,2,4.13,20,15,0,0,,83,360,72,42,38,12,38,,4,85
133,Grayson Rodriguez,BAL,3,3,3.72,8,8,0,0,,46,190,41,20,19,6,14,,2,48
134,Eduardo Rodriguez,ARI,4,4,4.4,20,15,0,0,,88,376,87,47,43,12,30,,4,81
135,Tanner Scott,LAD,2,2,2.91,41,0,17,4,,41,170,31,14,13,4,16,,2,50
136,Chase Dollander,COL,1,1,4.61,19,14,0,0,,82,358,77,46,42,12,38,,4,83
137,Lucas Giolito,BOS,3,5,4.84,24,17,0,0,,100,427,99,58,54,15,38,,5,91
138,Noah Cameron,KCR,1,1,4.48,31,11,0,0,,89,370,87,48,44,11,29,,4,72
139,Miles Mikolas,STL,6,7,4.67,18,18,0,0,,102,435,110,58,53,15,23,,4,70
140,Aroldis Chapman,BOS,2,2,3.13,38,0,17,2,,38,162,28,14,13,3,20,,2,54
141,Zack Littell,TBR,3,4,4.57,22,16,0,0,,96,407,100,53,49,15,21,,4,75
142,Aaron Civale,MIL,3,3,4.26,20,16,0,0,,87,371,82,45,41,14,27,,4,80
143,Jake Irvin,WSN,6,7,4.65,18,18,0,0,,100,429,101,56,52,15,32,,4,77
144,Dustin May,LAD,2,2,3.82,16,9,0,0,,55,228,48,26,23,7,19,,2,53
145,Bowden Francis,TOR,3,3,4.23,33,13,0,0,,95,403,89,49,45,15,27,,4,86
146,Andrew Painter,PHI,2,2,4.01,17,9,0,0,,59,251,53,29,26,8,20,,3,60
147,Marcus Stroman,NYY,4,5,4.56,14,14,0,0,,77,335,78,43,39,10,29,,4,59
148,Luis Gil,NYY,4,4,4.15,20,10,0,0,,65,278,54,32,30,9,31,,3,73
149,Devin Williams,NYY,2,2,3.11,40,0,11,6,,40,164,29,15,14,4,18,,2,50
150,Ryan Helsley,STL,2,2,2.96,42,0,22,1,,42,170,30,15,14,4,17,,2,50
151,Clayton Kershaw,LAD,4,4,4.24,12,12,0,0,,67,283,63,34,32,9,22,,3,57
