Scoring Period,Away,Home
15,Baltimore Orioles,Houston Astros
15,Baltimore Orioles,Atlanta Braves
15,Arizona Diamondbacks,Seattle Mariners
15,Arizona Diamondbacks,Philadelphia Phillies
15,Arizona Diamondbacks,Cincinnati Reds
15,Minnesota Twins,Houston Astros
15,Minnesota Twins,Washington Nationals
15,Minnesota Twins,Atlanta Braves
15,New York Yankees,Seattle Mariners
15,New York Yankees,Cincinnati Reds
15,New York Yankees,San Francisco Giants
15,Washington Nationals,Tampa Bay Rays
15,Los Angeles Angels,Philadelphia Phillies
15,Los Angeles Angels,Cincinnati Reds
15,Los Angeles Angels,San Diego Padres
15,Chicago White Sox,Kansas City Royals
15,Chicago White Sox,Miami Marlins
15,Chicago White Sox,Tampa Bay Rays
15,Philadelphia Phillies,San Diego Padres
15,Boston Red Sox,Milwaukee Brewers
15,Boston Red Sox,Houston Astros
15,Boston Red Sox,Saint Louis Cardinals
15,Detroit Tigers,Chicago Cubs
15,Detroit Tigers,New York Mets
15,Detroit Tigers,Colorado Rockies
15,Miami Marlins,Washington Nationals
15,Miami Marlins,Atlanta Braves
15,Toronto Blue Jays,Kansas City Royals
15,Toronto Blue Jays,Texas Rangers
15,Toronto Blue Jays,San Francisco Giants
15,Pittsburgh Pirates,Milwaukee Brewers
15,Pittsburgh Pirates,Saint Louis Cardinals
15,Pittsburgh Pirates,Chicago Cubs
15,Los Angeles Dodgers,Saint Louis Cardinals
15,Los Angeles Dodgers,Chicago Cubs
15,Los Angeles Dodgers,New York Mets
15,Colorado Rockies,New York Mets
15,Colorado Rockies,San Diego Padres
15,Athletics,Seattle Mariners
15,Athletics,Texas Rangers
15,Athletics,San Francisco Giants
15,Cleveland Guardians,Kansas City Royals
15,Cleveland Guardians,Texas Rangers
15,Cleveland Guardians,Tampa Bay Rays
