#,Name,Team,GS,G,IP,W,L,QS,SV,HLD,H,ER,HR,SO,BB,K/9,BB/9,K/BB,HR/9,AVG,WHIP,BABIP,LOB%,ERA,FIP,ADP
2588,Will Ethridge,,1,1,4,0,0,0,0,0,5,3,1,2,2,4.07,3.95,1.03,1.45,0.304,1.6,0.312,59.10%,6.49,5.82,999
2589,Tyler Phillips,PHI,0,30,30,2,1,0,0,1,31,16,4,21,11,6.36,3.17,2,1.09,0.266,1.4,0.298,67.80%,4.66,4.52,999
2590,Anthony Susac,TEX,0,1,1,0,0,0,0,0,1,1,0,1,1,7.43,4.54,1.64,1.36,0.254,1.48,0.288,67.90%,5.09,5.14,999
2591,Jake Brooks,MIA,1,1,5,0,0,0,0,0,6,3,1,2,1,3.41,2.51,1.36,1.51,0.295,1.38,0.293,56.40%,6.04,5.55,999
2592,Saul Garcia,NYM,1,1,3,0,0,0,0,0,3,2,0,2,2,7.01,5.71,1.23,1.27,0.245,1.59,0.273,70.20%,5.05,5.52,999
2593,Seth Mayberry,SDP,0,1,1.1,0,0,0,0,0,1,1,0,1,1,8.5,4.87,1.74,1.29,0.238,1.5,0.277,73.10%,4.53,4.92,999
2594,Erik Rivera,BOS,1,1,3,0,0,0,0,0,3,2,0,2,2,7.07,5.7,1.24,1.42,0.256,1.64,0.285,68.40%,5.51,5.71,999
2595,Austin Wynns,CIN,0,1,1,0,0,0,0,0,1,1,0,1,1,11.75,5.78,2.03,2.01,0.248,2.03,0.286,84.50%,4.77,5.59,999
2596,Chris Kachmar,CHC,1,1,3.2,0,0,0,0,0,4,2,1,2,2,5.72,4.03,1.42,1.44,0.259,1.44,0.274,65.70%,5.28,5.46,999
2597,Cade Denton,COL,0,1,1.1,0,0,0,0,0,1,1,0,1,0,5.27,3.67,1.43,1.33,0.294,1.58,0.315,63.70%,5.81,5.29,999
2598,Griffin Kilander,BOS,0,1,1.2,0,0,0,0,0,2,1,0,1,1,5.67,3.36,1.69,1.16,0.269,1.25,0.3,56.00%,5.35,4.82,999
2599,Melvin Adón,,0,1,1.1,0,0,0,0,0,1,1,0,1,1,8.24,5.64,1.46,1.11,0.263,1.71,0.312,71.30%,5.06,4.99,999
2600,Alejandro Torres,HOU,0,1,1.1,0,0,0,0,0,1,1,0,1,1,7.56,4.17,1.81,1.33,0.249,1.38,0.286,66.20%,4.97,4.95,999
2601,Tyler Guilfoil,HOU,1,1,4,0,0,0,0,0,4,2,1,3,2,6.33,4.33,1.46,1.49,0.253,1.44,0.272,65.90%,5.3,5.51,999
2602,Gabriel Sequeira,,0,1,1,0,0,0,0,0,1,1,0,1,1,7.57,4.99,1.52,1.19,0.249,1.54,0.286,70.70%,4.8,5.03,999
2603,Tyler Osik,,0,1,1.2,0,0,0,0,0,2,1,0,1,1,6.32,3.46,1.83,1.37,0.265,1.4,0.29,65.40%,5.13,5.03,999
2604,Nolan Clenney,CHC,0,1,1.2,0,0,0,0,0,2,1,0,1,1,7.52,3.95,1.9,1.28,0.247,1.43,0.28,71.30%,4.56,4.81,999
2605,Noel Vela,SDP,1,1,3.2,0,0,0,0,0,4,2,1,3,2,6.96,5.48,1.27,1.29,0.257,1.64,0.286,69.70%,5.25,5.49,999
2606,Stephen Quigley,CIN,1,1,2.2,0,0,0,0,0,3,2,1,2,1,7.49,4.56,1.64,1.98,0.269,1.78,0.286,74.60%,5.62,6.05,999
2607,Noah Hall,NYM,1,1,2.2,0,0,0,0,0,3,1,0,2,2,7.07,5.29,1.34,1.4,0.257,1.71,0.283,72.90%,5.12,5.56,999
