#,Name,MLBAMID,RazzballID,FanGraphsID,NFBCID,FantraxID,Team,STD_POS,YAHOO_POS,Last,First,Lastv2,Firstv2
1746,Sawyer Gipson-Long,687830,687830,26048,11863,*0514z*,DET,SP,SP,Gipson-Long,Sawyer,Gipson-Long,Sawyer
1747,Marc Church,687847,687847,26353,11993,*051du*,TEX,RP,RP,Church,Marc,Church,Marc
1748,Troy Johnston,687859,687859,sa3010899,11905,*051d0*,MIA,1B,1B,Johnston,Troy,Johnston,Troy
1749,Porter Hodge,687863,687863,26413,11980,*051aa*,CHC,RP,RP,Hodge,Porter,Hodge,Porter
1750,Brandon Walter,687888,687888,26056,11608,*05rk4*,HOU,SP,SP,Walter,Brandon,Walter,Brandon
1751,Bryan King,687911,687911,25890,12111,*06mi0*,HOU,RP,RP,King,Bryan,King,Bryan
1752,Easton Lucas,687922,687922,26058,11859,*051am*,TOR,RP,RP,Lucas,Easton,Lucas,Easton
1753,Julian Aguiar,687924,687924,30031,11959,*05yg3*,CIN,SP,SP,Aguiar,Julian,Aguiar,Julian
1754,Carson Whisenhunt,687931,687931,sa3020529,11956,*05y7v*,SF,SP,SP,Whisenhunt,Carson,Whisenhunt,Carson
1755,Christian Encarnacion-Strand,687952,687952,30011,11736,*05xor*,CIN,1B,1B,Encarnacion-Strand,Christian,Encarnacion-Strand,Christian
1756,Dustin Harris,687957,687957,25705,11589,*0518r*,TEX,OF,OF,Harris,Dustin,Harris,Dustin
1757,Robert Gasser,688107,688107,29812,11745,*05u6r*,MIL,SP,SP,Gasser,Robert,Gasser,Robert
1758,Logan Evans,688138,688138,sa3023077,12208,*06hv8*,SEA,SP,SP,Evans,Logan,Evans,Logan
1759,Chris Roycroft,688297,688297,31261,12086,*06lqo*,STL,RP,RP,Roycroft,Chris,Roycroft,Chris
1760,Graham Pauley,688363,688363,31363,11954,*066lr*,MIA,3B,1B/3B,Pauley,Graham,Pauley,Graham
1761,Kolton Ingram,688427,688427,26068,11702,*060up*,ATL,RP,RP,Ingram,Kolton,Ingram,Kolton
1762,Gavin Cross,688457,688457,sa3019985,12341,*05tcd*,KC,OF,OF,Cross,Gavin,Cross,Gavin
1763,Zach Agnos,688642,688642,sa3020560,12221,*064ny*,COL,RP,RP,Agnos,Zach,Agnos,Zach
1764,Blaine Crim,688760,688760,sa3010170,12034,*051eo*,TEX,1B,1B,Crim,Blaine,Crim,Blaine
1765,Landon Knack,689017,689017,27487,11058,*05l9f*,LAD,RP,RP,Knack,Landon,Knack,Landon
1766,Orion Kerkering,689147,689147,31776,11876,*06491*,PHI,RP,RP,Kerkering,Orion,Kerkering,Orion
1767,Chad Dallas,689149,689149,sa3018180,12063,*05xpp*,TOR,SP,SP,Dallas,Chad,Dallas,Chad
